gender,lower_name,lower_program,lower_class,lower_rating,higher_name,higher_program,higher_class,higher_rating,gap,meetings,lower_wins,lower_losses,max_win_streak,scores
boys,Jordan Mills,Carlin,Group 2,64.0,Benjamin Benjamin,Oak Forest,Group 2,71.0,7.0,2,2,0,2,"3-6, 6-1, 3-6 | 6-4, 6-7, 7-5"
girls,Kenzie Hausmann,Forge Hollow,3A,57.0,Adaline Seo,Bancroft,3A,64.0,7.0,2,2,0,2,"6-1, 4-6, 4-6 | 6-4, 4-6, 6-4"
boys,Zachariah Castillo,Kongisburg,8A,59.0,Hannes Cronk,Caldera,8A,66.0,7.0,2,2,0,2,"4-6, 2-6 | 6-7, 4-6"
boys,Ricardo White,Prune Springs,4A,47.0,Jakarrion Wendell,Las Colinas,4A,54.0,7.0,2,2,0,2,"4-6, 6-2, 4-6 | 7-5, 6-4"
girls,Tegan Hardee,Etchart,Group 3,47.0,Elizabeth Marshall,West Burlington,Group 3,54.0,7.0,2,2,0,2,"6-2, 6-7, 6-3 | 2-6, 5-7"
girls,Angela Barnett,Glenwood,1A,55.0,Jocelyn Quade,Lyle,1A,62.0,7.0,2,2,0,2,"6-4, 2-6, 6-7 | 6-3, 6-3"
girls,Hannah Dubuque,Sharpstown,4A,59.0,Maeve Lay,Calasanz Prep,4A,66.0,7.0,2,2,0,2,"3-6, 6-3, 6-4 | 2-6, 0-6"
boys,Ibrahim Baker,Housatonic,9A,48.0,Mitsuteru Murakami,Mission Bay,9A,55.0,7.0,2,2,0,2,"7-5, 1-6, 6-3 | 6-1, 4-6, 4-6"
boys,Tohi Ngatai,Trailsend,3A,56.0,Tristan Gonzalez,Hartford City,3A,63.0,7.0,2,2,0,2,"6-7, 6-2, 3-6 | 7-6, 6-4"
boys,Greyson Carlson,Rustin,9A,50.0,Caden Ray,Arrieta,9A,57.0,7.0,2,2,0,2,"2-6, 6-4, 3-6 | 7-6, 6-3"
boys,Johnathan Quarles,Boyerstown,5A,40.0,Jameson Jenkins,Barley Point,5A,47.0,7.0,2,2,0,2,"4-6, 6-3, 6-2 | 5-7, 3-6"
boys,Joseph Marshall,Cape Jean,7A,56.0,Brendan Guerrero,Deaconsburg,7A,63.0,7.0,2,2,0,2,"6-4, 3-6, 4-6 | 3-6, 6-3, 6-1"
boys,Alexander Prado,Cabo Esperanza Tech,3A,48.0,Tyler Quezada,River North,3A,55.0,7.0,2,2,0,2,"6-2, 6-7, 3-6 | 7-5, 6-4"
girls,Abigail Caban,Cradle,2A,56.0,Scarlett Gonzalez,Bethel Christian,2A,63.0,7.0,2,2,0,2,"6-3, 6-3 | 6-3, 2-6, 2-6"
boys,Clifton Hextall,Delbarton,7A,48.0,Kyle Henderson,Wheeler Academy,7A,55.0,7.0,2,2,0,2,"5-7, 7-6, 7-6 | 4-6, 6-3, 4-6"
boys,Jeramiah Sarmiento,Odellville,1A,54.0,Greyson Cummings,Orchardgate,1A,61.0,7.0,2,2,0,2,"3-6, 6-4, 2-6 | 3-6, 6-3, 7-6"
boys,Alexander Christiansen,Loomis City,5A,52.0,Evan Harris,East Range Agricultural,5A,59.0,7.0,2,2,0,2,"6-3, 4-6, 6-2 | 6-4, 6-7, 2-6"
girls,Jamie Muto,Tindall,5A,62.0,Gemma Elliott,Barley Point,5A,69.0,7.0,2,2,0,2,"7-5, 4-6, 6-3 | 7-5, 3-6, 4-6"
girls,Aria Wang,Puerto de los Reyes,8A,52.0,Peyton Wynne,Quarry Workers,8A,59.0,7.0,2,2,0,2,"6-4, 6-7, 2-6 | 7-5, 6-1"
girls,Jacqueline Beard,Norwood Park,Group 2,72.0,Emery Schaefer,Cedar,Group 2,79.0,7.0,2,2,0,2,"6-4, 4-6, 6-4 | 7-6, 4-6, 4-6"
boys,Johnathan Vaillancourt,Yandell,Group 3,58.0,Mason Yamaguchi,Lieksa,Group 3,65.0,7.0,2,2,0,2,"6-7, 2-6 | 7-6, 6-1"
boys,Omillio Friedler,Mount Dylan Lake,1A,51.0,Sawyer Perez,Christ the King,1A,58.0,7.0,2,2,0,2,"3-6, 4-6 | 6-2, 7-5"
girls,Dayana Maldonado,Esperanza,9A,40.0,Paislee Pounds,Carter,9A,47.0,7.0,2,2,0,2,"6-4, 3-6, 6-7 | 6-4, 6-7, 6-2"
boys,Joseph Dailey,North Wind,3A,60.0,Chance Lowe,Sinkford,3A,67.0,7.0,2,2,0,2,"6-7, 4-6 | 1-6, 6-3, 7-6"
boys,Tom Evans,Vista Terrace,9A,58.0,Hank Wilfley,Mesa Verde,9A,65.0,7.0,2,2,0,2,"6-2, 7-5 | 2-6, 2-6"
boys,Lipe Fusano,Shiloh,3A,54.0,Zacarias Bermudez,Fort Bardsley,3A,61.0,7.0,2,2,0,2,"1-6, 4-6 | 7-5, 6-4"
girls,Lakia Bielik,Brookside,6A,38.0,Amelia Gary,Navrang,6A,45.0,7.0,2,2,0,2,"2-6, 6-3, 7-6 | 4-6, 0-6"
girls,Lillian Kim,Guthrie,Group 3,70.0,Arya Gottschalk,Kearney,Group 3,77.0,7.0,2,2,0,2,"2-6, 7-5, 6-7 | 6-2, 6-4"
boys,Anakin Davis,Minnesota City,8A,69.0,Ian Watts,East Moscow,8A,76.0,7.0,2,2,0,2,"6-3, 5-7, 2-6 | 3-6, 6-3, 7-5"
boys,Jarrett Ocampo,Ontario,5A,60.0,John Looper,Hermiston,5A,67.0,7.0,2,2,0,2,"3-6, 2-6 | 6-2, 6-3"
girls,Willow Black,Yarburg,2A,45.0,Cheyenne Glover,Vale,2A,52.0,7.0,2,2,0,2,"7-6, 2-6, 6-3 | 2-6, 3-6"
boys,Steven Palmer,Silver Glen,3A,52.0,Filiberto Nogueira,Star Hollow,3A,59.0,7.0,2,2,0,2,"7-6, 6-0 | 3-6, 6-1, 5-7"
boys,Alexander Brooks,Grace Christian,1A,45.0,Andrew Rambo,Camden Flat,1A,52.0,7.0,2,2,0,2,"2-6, 5-7 | 6-4, 0-6, 7-6"
boys,Luke Hickey,Featherstone Tech,1A,51.0,Kody Sheetz,Tailingford Union,1A,58.0,7.0,2,2,0,2,"6-7, 4-6 | 6-4, 6-4"
girls,Violet Davis,Gruesome Ridge,2A,51.0,Jayla Campbell,Granite Basin,2A,58.0,7.0,2,2,0,2,"3-6, 6-7 | 7-6, 6-4"
girls,Destiny Archer,Weissburg,4A,54.0,Iris Deutsch,Wyalusing,4A,61.0,7.0,2,2,0,2,"6-3, 6-7, 4-6 | 6-4, 4-6, 6-4"
boys,Yousef Moss,Allegheny,Group 2,55.0,Eslam Afifi,Kuopio,Group 2,62.0,7.0,2,2,0,2,"6-7, 6-3, 2-6 | 6-4, 6-1"
girls,Alexis Jones,Trailsend,3A,57.0,Carolina Waters,Hartford City,3A,64.0,7.0,2,2,0,2,"6-2, 6-4 | 2-6, 6-2, 6-7"
girls,Yazmeen Niu,Los Robles,7A,53.0,Tadala Mvula,Pinebluffs,7A,60.0,7.0,2,2,0,2,"7-6, 6-3 | 3-6, 5-7"
boys,Wyatt Schaefer,Cap Rouge,6A,38.0,Mikhail Zaytseva,Maritime,6A,45.0,7.0,2,2,0,2,"6-2, 6-3 | 3-6, 6-3, 5-7"
girls,Patty Fukui,Nurmes,Group 3,81.0,Nevaeh Koch,Galactica Plains,Group 3,88.0,7.0,2,2,0,2,"1-6, 6-3, 6-3 | 3-6, 6-1, 5-7"
boys,Sukarno Pendatun,Casco,5A,75.0,Jacob Sheikh,Miles Davis,5A,81.0,6.0,2,2,0,2,"6-2, 6-2 | 6-4, 4-6, 4-6"
boys,Joel Barba,Coldwater,Group 2,58.0,Zander Peace,Pierre,Group 2,64.0,6.0,2,2,0,2,"6-3, 6-1 | 7-6, 3-6, 4-6"
girls,Cassie Fendick,Norbrook,3A,44.0,Emma Lemoine,Summervale,3A,50.0,6.0,2,2,0,2,"6-4, 6-4 | 6-4, 6-7, 3-6"
girls,Ruby O'Donnell,Lake Esperanza,6A,56.0,Isabella Pryor,Moreno,6A,62.0,6.0,2,2,0,2,"7-6, 6-2 | 6-7, 6-3, 6-7"
girls,Mei Lv,Malpais,9A,50.0,Molly Forrest,Keeler,9A,56.0,6.0,2,2,0,2,"6-4, 6-4 | 6-2, 1-6, 6-7"
girls,Jane Bonneau,Laurel Park,9A,65.0,Gabriella Johnson,Vista Terrace,9A,71.0,6.0,2,2,0,2,"7-5, 4-6, 6-4 | 6-2, 2-6, 4-6"
girls,Marjory Tuttle,Western Sky,Group 1,76.0,Harper O'Neal,Jackson Hole,Group 1,82.0,6.0,2,2,0,2,"6-7, 2-6 | 7-6, 6-3"
boys,Suresh Airee,Saltmarsh,3A,49.0,Tyler Quezada,River North,3A,55.0,6.0,2,2,0,2,"1-6, 6-4, 6-3 | 5-7, 3-6"
girls,Natalie Bailey,New Penzance Island,1A,76.0,Alice Sultan,Manzanita Junction,1A,82.0,6.0,2,2,0,2,"6-3, 6-7, 6-7 | 6-4, 6-4"
boys,Elijah Villalobos,Mt Jacqueline,1A,62.0,Gabriel Cline,Trout Lake,1A,68.0,6.0,2,2,0,2,"7-5, 7-6 | 6-0, 6-7, 4-6"
boys,Jensen Dunn,Calasanz Prep,4A,53.0,Samuel Nguyen,Ravenwood,4A,59.0,6.0,2,2,0,2,"6-3, 4-6, 0-6 | 6-3, 4-6, 6-1"
boys,Zachary Phillips,Halfway House,2A,49.0,Levi Rodriguez,Newark River,2A,55.0,6.0,2,2,0,2,"6-4, 1-6, 7-6 | 1-6, 6-3, 4-6"
boys,Garrett Uchida,Star Valley Catholic,Group 2,62.0,Jose Hilliard,Hampton,Group 2,68.0,6.0,2,2,0,2,"6-4, 2-6, 2-6 | 4-6, 6-4, 6-4"
girls,Mimi Clothier,Granite Basin,2A,67.0,Lilian Vahaly,Port Meridian North,2A,73.0,6.0,2,2,0,2,"6-2, 7-6 | 4-6, 1-6"
boys,David Rive,Cradle,2A,70.0,Frank Futch,Governor Woods,2A,76.0,6.0,2,2,0,2,"6-4, 3-6, 7-5 | 6-7, 6-1, 3-6"
girls,Evelyn Courtney,Anchor,3A,59.0,Addison Beard,Mill Bar,3A,65.0,6.0,2,2,0,2,"1-6, 6-7 | 7-6, 6-3"
boys,Zenzo Aoyama,Garden Plain,Group 1,48.0,Reese Vazquez,Gravel Narrows,Group 1,54.0,6.0,2,2,0,2,"2-6, 6-4, 7-6 | 4-6, 3-6"
boys,Henry Smith,Jemison,Group 1,44.0,Marvin Caruana,Redwood,Group 1,50.0,6.0,2,2,0,2,"6-4, 3-6, 7-6 | 5-7, 3-6"
girls,Willow Womble,Dogpatch,8A,72.0,Brenna Naughton,Breakwater,8A,78.0,6.0,2,2,0,2,"4-6, 6-4, 1-6 | 6-4, 6-3"
girls,Samara Paz,Dusty Spur,6A,53.0,Victoria Fox,Springfield,6A,59.0,6.0,2,2,0,2,"2-6, 6-2, 7-6 | 4-6, 6-7"
girls,Ana Félix,Cedar Point,5A,45.0,Elise Rogers,Benchton,5A,51.0,6.0,2,2,0,2,"4-6, 7-6, 6-2 | 6-3, 4-6, 1-6"
girls,Kyra Weaver,Websterfield,5A,56.0,Quinn Munoz,The Dalles,5A,62.0,6.0,2,2,0,2,"6-3, 2-6, 7-5 | 3-6, 6-4, 6-7"
boys,Jonathan Anderson,Noe Valley,Group 1,69.0,Russell Peach,Vermillion,Group 1,75.0,6.0,2,2,0,2,"6-3, 6-7, 6-4 | 6-1, 6-7, 2-6"
boys,Lincoln Christensen,Asteroid City,8A,79.0,Titus Brockermeyer,Marshfield Prep,8A,85.0,6.0,2,2,0,2,"3-6, 7-5, 6-3 | 6-4, 6-4"
boys,Pancho Kriech,Sacred Heart,7A,67.0,Jax Allan,Veles Harbor,7A,73.0,6.0,2,2,0,2,"4-6, 7-6, 6-3 | 3-6, 2-6"
girls,Hazel Brooks,Sawtelle,Group 1,66.0,Ana Johnson,Kokomo,Group 1,72.0,6.0,2,2,0,2,"6-4, 3-6, 1-6 | 3-6, 6-4, 1-6"
girls,Collins Pena,Río Salado,1A,62.0,Jennifer Valdez,Linden,1A,68.0,6.0,2,2,0,2,"3-6, 6-4, 6-1 | 6-7, 2-6"
girls,Bailey Abarca,Cincinnati,Group 1,58.0,Hadley Lewis,Utah,Group 1,64.0,6.0,2,2,0,2,"7-6, 0-6, 7-6 | 3-6, 6-7"
boys,Mondy Clement,Purcell,9A,49.0,Carter Haley,Tamarack Harbor,9A,55.0,6.0,2,2,0,2,"6-7, 6-1, 6-4 | 2-6, 6-4, 1-6"
boys,Braxton Warfel,Santa Michaela,9A,60.0,George Smith,Benton Park,9A,66.0,6.0,2,2,0,2,"3-6, 5-7 | 6-4, 3-6, 6-3"
girls,Eliana Mitchell,Calasanz Prep,4A,45.0,Kimberly Jackson,Ravenwood,4A,51.0,6.0,2,2,0,2,"7-5, 6-7, 2-6 | 4-6, 7-6, 6-3"
girls,Quinn Sutton,Esperanza,9A,43.0,Bella Green,Carter,9A,49.0,6.0,2,2,0,2,"6-4, 4-6, 1-6 | 6-4, 6-4"
girls,Maura Mortimer,Kuusamo,Group 3,63.0,Naomi Sayles,Rilland,Group 3,69.0,6.0,2,2,0,2,"7-5, 6-3 | 1-6, 2-6"
girls,Lillian Smith,Montpelier,5A,52.0,Sandra Miller,Tindall,5A,58.0,6.0,2,2,0,2,"6-2, 6-3 | 1-6, 6-0, 4-6"
boys,Zachary Whitney,Petoskey Rock,7A,56.0,Dante Irvine,Indigo Rim,7A,62.0,6.0,2,2,0,2,"7-6, 2-6, 6-1 | 3-6, 5-7"
boys,Lucas Perez,Kelford,5A,48.0,Karen Schukin,Kingwood,5A,54.0,6.0,2,2,0,2,"6-7, 7-6, 4-6 | 6-2, 5-7, 6-4"
girls,Ileana Moldovan,Aldecoa,Group 1,52.0,Briana Digiorgio,Coyote Springs,Group 1,58.0,6.0,2,2,0,2,"4-6, 6-4, 5-7 | 7-5, 6-2"
girls,Katherine Israel,Yarburg,2A,44.0,Delaney Partington,Mineral Springs,2A,50.0,6.0,2,2,0,2,"6-4, 3-6, 3-6 | 6-3, 6-0"
girls,Kinsley Yow,Trinity Catholic,9A,61.0,Avery Suniga,Forest Park,9A,67.0,6.0,2,2,0,2,"6-4, 6-7, 6-0 | 6-4, 1-6, 4-6"
girls,Tegan Martinez,Bahía Leal,7A,47.0,Djariatou Anne,Tensas,7A,53.0,6.0,2,2,0,2,"1-6, 6-4, 4-6 | 6-7, 6-4, 7-5"
boys,Talon Tilton,Brynildson Hill,Group 3,53.0,Alexander Paxton,Sage Village,Group 3,59.0,6.0,2,2,0,2,"4-6, 6-4, 1-6 | 3-6, 6-3, 7-6"
boys,Liam Shaffer,Ravenwood,4A,43.0,Jackson Perry,Calasanz Prep,4A,49.0,6.0,2,2,0,2,"3-6, 6-3, 6-4 | 6-2, 3-6, 1-6"
girls,Audrey Hawkins,Heron Slough,6A,50.0,Eva Persons,Verrettes,6A,56.0,6.0,2,2,0,2,"1-6, 6-4, 7-5 | 6-7, 4-6"
boys,Kymani Jones,Verde Highlands,5A,79.0,Jacob Munoz,Hazel Country Day,5A,85.0,6.0,2,2,0,2,"1-6, 6-7 | 6-4, 6-7, 7-6"
boys,Aidan Simons,Carmina,Group 2,64.0,Leo Cooper,Lizarra,Group 2,70.0,6.0,2,2,0,2,"6-1, 7-6 | 4-6, 0-6"
boys,Reginald Brame,Robeson,Group 1,67.0,Jayson Horton,Chillicothe,Group 1,73.0,6.0,2,2,0,2,"3-6, 7-6, 6-3 | 6-4, 4-6, 6-7"
boys,Soane Borowiak,Dry Fork,8A,64.0,Sonny Haven,Orellana Central,8A,70.0,6.0,2,2,0,2,"1-6, 6-2, 2-6 | 0-6, 6-1, 7-6"
boys,Ryker Ross,Fellows Mill,4A,76.0,Xavier Tian,Averill,4A,82.0,6.0,2,2,0,2,"7-5, 6-2 | 4-6, 2-6"
girls,Jaida Ogumoro,Flume,1A,51.0,Natalie Delfin,Alfalfa City,1A,57.0,6.0,2,2,0,2,"6-4, 6-2 | 2-6, 5-7"
boys,Dante Parsons,Lyle,1A,72.0,Nathan Hummel,Klickitat,1A,78.0,6.0,2,2,0,2,"6-2, 6-4 | 5-7, 7-6, 3-6"
boys,Dylan Rodriguez,Bridgewater,6A,72.0,Rich Foiles,Golden State,6A,78.0,6.0,2,2,0,2,"7-5, 4-6, 7-5 | 1-6, 6-7"
girls,Rose Martin,Grace Christian,1A,68.0,Violet Stouffer,Camden Flat,1A,74.0,6.0,2,2,0,2,"6-4, 6-2 | 6-2, 5-7, 5-7"
boys,Marcos Friedman,Crown Paper,Group 2,49.0,Carter Romero,San Vito Regional,Group 2,55.0,6.0,2,2,0,2,"5-7, 6-2, 2-6 | 7-5, 2-6, 7-6"
boys,Sage Voight,Linden,1A,77.0,Jack To,Quaking Aspen,1A,83.0,6.0,2,2,0,2,"6-3, 7-6 | 7-6, 5-7, 4-6"
boys,Daniel Wallis,Minnesota City,8A,70.0,Ethan London,East Moscow,8A,76.0,6.0,2,2,0,2,"2-6, 4-6 | 6-3, 6-1"
girls,Kaylee Brady,Mount Dylan Lake,1A,67.0,Eden Peralta,San Aurelio,1A,72.0,5.0,2,2,0,2,"6-3, 2-6, 7-5 | 3-6, 4-6"
boys,Devon Harden,Pomar,3A,46.0,Andrea Curne,Palisade Prep,3A,51.0,5.0,2,2,0,2,"6-7, 7-5, 5-7 | 6-2, 6-4"
girls,Cheyna Bierman,Cordero Junction,6A,63.0,Kiara Hunter,Bridgewater,6A,68.0,5.0,2,2,0,2,"6-1, 4-6, 4-6 | 6-2, 4-6, 7-6"
girls,Kiara Hunter,Bridgewater,6A,68.0,Sophia Holloway,Antelope Butte,6A,73.0,5.0,2,2,0,2,"6-2, 6-4 | 7-5, 2-6, 2-6"
girls,Alexa Olden,Salmon Bay,1A,51.0,Delilah Olds,Alfalfa City,1A,56.0,5.0,2,2,0,2,"4-6, 6-4, 2-6 | 6-2, 6-4"
girls,Janiya Romanelli,Indigo Rim,7A,69.0,Sophia Hart,Petoskey Rock,7A,74.0,5.0,2,2,0,2,"6-1, 7-5 | 2-6, 6-3, 5-7"
boys,Marko Kroos,Prune Springs,4A,60.0,Amir Walker,Truman,4A,65.0,5.0,2,2,0,2,"6-2, 7-6 | 3-6, 6-4, 1-6"
girls,Aryana Patterson,Sawtelle,Group 1,64.0,Miah McKenzie,Deadwood,Group 1,69.0,5.0,2,2,0,2,"6-4, 6-7, 6-4 | 7-5, 5-7, 4-6"
girls,Lillian York,Rustin,9A,71.0,Azul Vargas,Basin Gate,9A,76.0,5.0,2,2,0,2,"5-7, 4-6 | 2-6, 6-2, 6-4"
girls,Camila Mayfield,Blue Valley,Group 3,49.0,Natalie Whitley,Silver Lake,Group 3,54.0,5.0,2,2,0,2,"2-6, 4-6 | 2-6, 7-6, 6-1"
boys,Damian Wroblewski,Allegheny,Group 2,59.0,Mayson Cortez,Kuopio,Group 2,64.0,5.0,2,2,0,2,"7-6, 5-7, 6-7 | 1-6, 6-1, 6-2"
girls,Aubrey Biondo,Elgin,2A,41.0,Acacia Autry,McLoughlin,2A,46.0,5.0,2,2,0,2,"6-1, 6-3 | 6-2, 6-7, 4-6"
boys,Matthew Callison,Mar Vista,9A,70.0,Ludwig Brolin,Tamarack,9A,75.0,5.0,2,2,0,2,"6-4, 2-6, 5-7 | 6-2, 3-6, 6-1"
girls,Laila Vanwagner,Ditch Fork,8A,62.0,Vienna Kunieda,Olive Head,8A,67.0,5.0,2,2,0,2,"1-6, 5-7 | 6-2, 6-2"
boys,Grayson Johnson,Crane,3A,68.0,Russell Bowens,Leidesdorff,3A,73.0,5.0,2,2,0,2,"1-6, 6-3, 3-6 | 3-6, 6-3, 6-0"
boys,Cain Wagler,Observatory,7A,54.0,Wenbin Ding,Delbarton,7A,59.0,5.0,2,2,0,2,"6-2, 4-6, 6-7 | 6-4, 0-6, 7-5"
girls,Aaliyah Wallace,Charleston-on-the-Coast,3A,47.0,Skye Cressy,Timber Crest,3A,52.0,5.0,2,2,0,2,"6-2, 6-4 | 1-6, 1-6"
girls,Olivia Reed,Bell,8A,56.0,Paulina Grau,Washington,8A,61.0,5.0,2,2,0,2,"3-6, 4-6 | 5-7, 7-6, 6-4"
boys,Soane Borowiak,Dry Fork,8A,64.0,Diego Sawyers,Dogpatch,8A,69.0,5.0,2,2,0,2,"7-5, 7-5 | 2-6, 7-6, 3-6"
girls,Stella Lang,Starlake,Group 3,48.0,Nayeli Oneil,North Starlake,Group 3,53.0,5.0,2,2,0,2,"1-6, 6-4, 4-6 | 1-6, 6-1, 6-2"
girls,Mae Sauerbrunn,Deadwood,Group 1,62.0,Rylee Booth,Pope Leo XIV,Group 1,67.0,5.0,2,2,0,2,"6-2, 4-6, 6-4 | 2-6, 6-2, 3-6"
boys,Yahir Kramer,Yarburg,2A,55.0,Shane Brown,Elk Run,2A,60.0,5.0,2,2,0,2,"6-2, 7-6 | 6-7, 5-7"
girls,Farrah Carroll,B. Harrison,7A,63.0,Lilian Augustus,Sacred Heart,7A,68.0,5.0,2,2,0,2,"3-6, 6-2, 6-4 | 3-6, 1-6"
girls,Arya Martinez,Iron Gate,6A,55.0,Amelia Olson,Liberty Hill,6A,60.0,5.0,2,2,0,2,"1-6, 6-7 | 6-4, 7-6"
girls,Cora Nunez,Kilbride Hall,1A,74.0,Charlotte Corbin,Portola-Caverly,1A,79.0,5.0,2,2,0,2,"2-6, 4-6 | 6-4, 6-4"
boys,Knahlij Miramontez,Beulah Landing,1A,62.0,Lazaro Raya,San Aurelio,1A,67.0,5.0,2,2,0,2,"7-5, 2-6, 6-7 | 7-6, 7-5"
boys,Robert Burnside,South Rim,2A,58.0,Nolan Larsen,Mineral Springs,2A,63.0,5.0,2,2,0,2,"6-4, 2-6, 6-2 | 4-6, 7-6, 5-7"
girls,Ella Zajac,Clear Lake,Group 2,45.0,Mele Leota,Trailhead,Group 2,50.0,5.0,2,2,0,2,"2-6, 6-4, 6-1 | 6-3, 0-6, 5-7"
girls,Abigail Walker,New Hope Christian,1A,54.0,Zoey Harder,Linden,1A,59.0,5.0,2,2,0,2,"6-1, 7-6 | 1-6, 4-6"
girls,Madison Naber,Empire,Group 2,63.0,Brianna Gould,Oak Forest,Group 2,68.0,5.0,2,2,0,2,"4-6, 6-2, 3-6 | 6-7, 7-6, 6-4"
boys,Eugene Gonzales,Pacersburg,4A,77.0,Vasil Gelsey,Three Saints,4A,82.0,5.0,2,2,0,2,"3-6, 6-3, 3-6 | 3-6, 7-6, 7-6"
boys,Maxim Matta,Quincy,Group 3,53.0,Daragh Brown,Nicodemus,Group 3,58.0,5.0,2,2,0,2,"6-7, 6-3, 6-4 | 3-6, 4-6"
boys,Jai-Ayviauynn Abdul-Wahab,Bellamy,7A,41.0,George Ammons,Observatory,7A,46.0,5.0,2,2,0,2,"6-2, 6-4 | 3-6, 2-6"
boys,Spencer Potter,Canyon,4A,65.0,Siyanda Ngcobo,Taft,4A,70.0,5.0,2,2,0,2,"7-5, 4-6, 6-4 | 6-2, 3-6, 5-7"
girls,Eliza Handy,The Dalles,5A,70.0,Harper Rivers,Sandhill Marsh,5A,75.0,5.0,2,2,0,2,"3-6, 6-4, 3-6 | 6-4, 6-1"
boys,Max Cleary,Gold Hollow,2A,59.0,Darien Rinker,North Antler Regional,2A,64.0,5.0,2,2,0,2,"7-5, 6-7, 2-6 | 6-7, 6-0, 6-4"
girls,Hannah Stratton,North Simmons,Group 3,44.0,Emma Carter,Dovetail,Group 3,49.0,5.0,2,2,0,2,"7-5, 4-6, 6-4 | 4-6, 6-7"
boys,Frankie Coronado,Vale,2A,68.0,Wyatt Dykstra,Union,2A,73.0,5.0,2,2,0,2,"1-6, 3-6 | 6-2, 5-7, 6-3"
boys,Finn Brockway,Tidegate,8A,91.0,Jaden Hartzler,Pacific Gate,8A,96.0,5.0,2,2,0,2,"7-6, 7-5 | 6-4, 4-6, 4-6"
girls,Makenna Keeley,Hermiston,5A,67.0,Sofia Miller,Juniper Ridge,5A,72.0,5.0,2,2,0,2,"7-6, 4-6, 3-6 | 4-6, 6-2, 6-4"
girls,Abigail Huber,Boyerstown,5A,53.0,Sandra Miller,Tindall,5A,58.0,5.0,2,2,0,2,"7-5, 7-5 | 5-7, 6-3, 4-6"
boys,Everett Chandler,Ironworks,6A,52.0,Pierce Simms,Evenfall,6A,57.0,5.0,2,2,0,2,"3-6, 3-6 | 3-6, 7-6, 7-5"
girls,Marilyn Linder,Pinebluffs,7A,54.0,Apio Musoni,Copper Lake,7A,59.0,5.0,2,2,0,2,"7-5, 6-1 | 3-6, 5-7"
girls,Patricia Sandoval,Llerena,6A,48.0,Samara Paz,Dusty Spur,6A,53.0,5.0,2,2,0,2,"6-4, 6-4 | 5-7, 7-6, 3-6"
girls,Karen Flores,Union Prairie,Group 3,42.0,Rosa Shukla,Silver Lake,Group 3,47.0,5.0,2,2,0,2,"6-4, 3-6, 6-1 | 7-6, 3-6, 3-6"
boys,Victor Anderson,Redwood,Group 1,53.0,Aldo Villalobos,Red Bluff,Group 1,58.0,5.0,2,2,0,2,"6-1, 7-5 | 6-7, 6-2, 2-6"
girls,Melissa Milburn,Bannock,9A,61.0,Alexandra Sheldon,Arrieta,9A,66.0,5.0,2,2,0,2,"7-6, 7-5 | 6-7, 3-6"
girls,Emma Merkle,Amelia,9A,53.0,Diana Martinez,Basin Gate,9A,58.0,5.0,2,2,0,2,"7-5, 6-7, 5-7 | 4-6, 6-4, 6-4"
boys,Lewis Hallum,Toussaint,Group 2,78.0,Hudson Salters,Chickasaw,Group 2,83.0,5.0,2,2,0,2,"4-6, 1-6 | 6-7, 7-6, 6-2"
boys,Nicolas Ortigoza,Navrang,6A,43.0,Jamison Botelho,Hurston,6A,48.0,5.0,2,2,0,2,"6-1, 6-0 | 3-6, 6-0, 3-6"
boys,Noah Welch,Condotti Vanguard Academy,7A,73.0,Josue Morton,Orchard Union,7A,78.0,5.0,2,2,0,2,"6-2, 4-6, 5-7 | 7-6, 6-3"
girls,Mina Holtzman,Switchback,3A,56.0,Mila Butler,Silva,3A,61.0,5.0,2,2,0,2,"4-6, 6-7 | 6-4, 6-4"
boys,Roman Jamison,Willow Creek,5A,58.0,Michael Milam,Gershwin,5A,63.0,5.0,2,2,0,2,"6-3, 6-1 | 3-6, 5-7"
girls,Arianna Clark,Kuopio,Group 2,62.0,Connie Beckman,Cutbank,Group 2,67.0,5.0,2,2,0,2,"6-4, 4-6, 6-2 | 6-4, 3-6, 2-6"
girls,Madison Horn,Rostova Tech,Group 1,80.0,Christa McKay,Box Canyon,Group 1,85.0,5.0,2,2,0,2,"4-6, 5-7 | 6-3, 6-2"
girls,Athena Cardenas,Romare Bearden,Group 1,69.0,Riley Birdsong,Zubieta,Group 1,74.0,5.0,2,2,0,2,"1-6, 7-6, 6-4 | 3-6, 6-3, 0-6"
girls,Giselle Forsythe,Kennedy,Group 1,50.0,Mariah Wyant,Green Valley,Group 1,55.0,5.0,2,2,0,2,"3-6, 6-3, 6-1 | 4-6, 3-6"
boys,Dennis Kosakowski,Kochiyama,4A,51.0,Eric Pate,Bracken,4A,56.0,5.0,2,2,0,2,"3-6, 6-4, 5-7 | 6-1, 0-6, 6-4"
girls,Ella Beers,Rimrock,Group 3,67.0,Nataly Schafer,Doyleville Union,Group 3,72.0,5.0,2,2,0,2,"6-4, 6-2 | 3-6, 2-6"
boys,Eric Pate,Bracken,4A,56.0,Gabriel Diaz,Taft,4A,61.0,5.0,2,2,0,2,"2-6, 6-3, 5-7 | 6-4, 6-2"
boys,Evan Jordan,Northrup Tech,Group 3,55.0,Manuel Almonte,Starlake,Group 3,60.0,5.0,2,2,0,2,"6-3, 6-1 | 6-2, 3-6, 2-6"
